"date","material","colada","prod"
2023-01-09,303710,"B00011387",121.26
2023-01-09,303710,"B00011388",115.62
2023-01-09,303710,"B00011389",107.16
2023-01-09,303710,"B00011390",124.08
2023-01-09,303710,"B00011391",121.26
2023-01-09,303710,"B00011392",118.44
2023-01-09,303710,"B00011393",112.8
2023-01-09,303710,"B00011394",107.16
2023-01-09,303710,"B00011395",107.16
2023-01-09,303710,"B00011396",107.16
2023-01-09,303710,"B00011397",112.8
2023-01-09,303710,"B00011398",118.44
2023-01-09,303710,"B00011399",124.08
2023-01-09,303710,"B00011400",124.08
2023-01-09,303710,"B00011401",115.62
2023-01-10,303456,"B00011419",123.2
2023-01-10,303456,"B00011420",120.38
2023-01-10,303456,"B00011423",123.2
2023-01-10,303457,"B00011421",131.1
2023-01-10,303457,"B00011422",111.8
2023-01-10,303457,"B00011424",128.5
2023-01-10,303457,"B00011425",119.6
2023-01-10,303457,"B00011426",124.8
2023-01-10,303458,"B00011418",138
2023-01-10,303661,"B00011410",90.336
2023-01-10,303661,"B00011411",129.72
2023-01-10,303661,"B00011412",135.504
2023-01-10,303661,"B00011413",95.982
2023-01-10,303661,"B00011414",129.72
2023-01-10,303661,"B00011415",138.18
2023-01-10,303661,"B00011416",124.08
2023-01-10,303661,"B00011417",132.54
2023-01-10,303710,"B00011402",129.996
2023-01-10,303710,"B00011403",121.518
2023-01-10,303710,"B00011404",149.778
2023-01-10,303710,"B00011405",132.822
2023-01-10,303710,"B00011406",115.866
2023-01-10,303710,"B00011407",90.336
2023-01-10,303710,"B00011408",127.035
2023-01-10,303710,"B00011409",158.088
2023-01-11,303472,"B00011434",96.016
2023-01-11,303472,"B00011435",129.904
2023-01-11,303472,"B00011436",129.904
2023-01-11,303472,"B00011437",129.32
2023-01-11,303472,"B00011438",118.44
2023-01-11,303472,"B00011439",118.44
2023-01-11,303472,"B00011440",135.36
2023-01-11,303473,"B00011441",135.36
2023-01-11,303473,"B00011442",132.54
2023-01-11,303473,"B00011443",126.9
2023-01-11,303473,"B00011444",135.36
2023-01-11,303475,"B00011427",135.36
2023-01-11,303475,"B00011428",135.36
2023-01-11,303475,"B00011429",118.44
2023-01-11,303475,"B00011430",132.54
2023-01-11,303475,"B00011431",126.9
2023-01-11,303475,"B00011432",129.904
2023-01-11,303475,"B00011433",155.32
2023-01-11,303477,"B00011445",135.36
2023-01-11,303477,"B00011446",129.904
2023-01-11,303477,"B00011447",132.728
2023-01-11,303477,"B00011448",132.728
2023-01-11,303477,"B00011449",138.376
2023-01-11,303477,"B00011450",112.8
2023-01-11,303477,"B00011451",135.36
2023-01-11,303477,"B00011452",93.06
2023-01-12,303458,"B00011464",128.84
2023-01-12,303458,"B00011465",149.6
2023-01-12,303460,"B00011466",103.36
2023-01-12,303460,"B00011467",130.56
2023-01-12,303460,"B00011468",138.72
2023-01-12,303460,"B00011469",122.4
2023-01-12,303777,"B00011453",124.08
2023-01-12,303777,"B00011454",129.72
2023-01-12,303777,"B00011455",129.72
2023-01-12,303777,"B00011456",109.98
2023-01-12,303777,"B00011457",129.72
2023-01-12,303777,"B00011458",132.54
2023-01-12,303777,"B00011459",126.9
2023-01-12,303777,"B00011460",126.9
2023-01-12,303777,"B00011461",132.54
2023-01-12,303777,"B00011462",132.54
2023-01-12,303777,"B00011463",121.26
2023-01-12,303961,"B00011470",99.4
2023-01-12,303961,"B00011471",142
2023-01-12,303961,"B00011472",85.2
2023-01-12,303961,"B00011473",93.72
2023-01-13,303478,"B00011474",141.35
2023-01-13,303478,"B00011475",130.042
2023-01-13,303478,"B00011476",141.35
2023-01-13,303478,"B00011477",113.08
2023-01-13,303478,"B00011479",84.6
2023-01-13,303478,"B00011480",121.26
2023-01-13,303478,"B00011481",121.346
2023-01-13,303478,"B00011482",132.634
2023-01-13,303478,"B00011483",132.634
2023-01-13,303478,"B00011484",93.126
2023-01-13,303661,"B00011478",195.3
2023-01-13,303661,"B00011485",156.876
2023-01-13,303661,"B00011486",139.55
2023-01-13,303661,"B00011487",133.968
2023-01-13,303661,"B00011488",133.968
2023-01-13,303661,"B00011489",138.18
2023-01-13,303661,"B00011490",135.36
2023-01-13,303661,"B00011491",135.36
2023-01-13,303661,"B00011492",135.456
2023-01-13,303661,"B00011493",135.456
2023-01-13,303661,"B00011494",135.456
2023-01-13,303661,"B00011495",141.1
2023-01-13,303661,"B00011496",157.92
2023-01-13,303661,"B00011497",78.96
2023-01-13,303661,"B00011498",124.08
2023-01-13,303661,"B00011499",124.08
2023-01-14,303475,"B00011511",128.47
2023-01-14,303475,"B00011512",140.12
2023-01-14,303480,"B00011510",127.41
2023-01-14,303480,"B00011513",135.65
2023-01-14,303661,"B00011500",129.72
2023-01-14,303661,"B00011501",129.812
2023-01-14,303661,"B00011502",141.1
2023-01-14,303661,"B00011503",129.812
2023-01-14,303661,"B00011504",129.812
2023-01-14,303661,"B00011505",135.36
2023-01-14,303661,"B00011506",135.36
2023-01-14,303661,"B00011507",132.54
2023-01-14,303661,"B00011508",132.54
2023-01-14,303661,"B00011509",126.9
2023-01-14,303661,"B00011514",132.54
2023-01-14,303661,"B00011515",129.72
2023-01-14,303661,"B00011516",132.634
2023-01-14,303661,"B00011517",141.1
2023-01-14,303661,"B00011518",135.456
2023-01-14,303661,"B00011519",129.812
2023-01-14,303661,"B00011520",124.168
2023-01-14,303661,"B00011521",126.9
2023-01-14,303661,"B00011522",132.54
2023-01-14,303661,"B00011523",129.72
2023-01-14,303661,"B00011524",115.22
2023-01-15,303661,"B00011525",126.9
2023-01-15,303661,"B00011526",141
2023-01-15,303661,"B00011527",127.035
2023-01-15,303661,"B00011528",118.566
2023-01-15,303661,"B00011529",129.858
2023-01-15,303661,"B00011530",135.504
2023-01-15,303661,"B00011531",135.36
2023-01-15,303661,"B00011532",138.18
2023-01-15,303661,"B00011533",138.18
2023-01-15,303661,"B00011534",135.36
2023-01-15,303661,"B00011535",141.05
2023-01-15,303661,"B00011536",129.766
2023-01-15,303661,"B00011537",132.587
2023-01-15,303661,"B00011538",129.766
2023-01-15,303661,"B00011539",118.482
2023-01-15,303661,"B00011540",129.766
2023-01-15,303661,"B00011541",129.766
2023-01-15,303661,"B00011542",126.9
2023-01-15,303661,"B00011543",124.08
2023-01-15,303661,"B00011544",132.54
2023-01-15,303661,"B00011545",132.54
2023-01-15,303661,"B00011546",129.72
2023-01-15,303661,"B00011547",124.08
2023-01-15,303661,"B00011548",132.681
2023-01-15,303661,"B00011549",112.92
2023-01-15,303661,"B00011550",124.212
2023-01-15,303661,"B00011551",135.504
2023-01-15,303661,"B00011552",124.212
2023-01-16,303475,"B00011568",131.926
2023-01-16,303475,"B00011569",132.869
2023-01-16,303475,"B00011570",127.215
2023-01-16,303475,"B00011571",130.042
2023-01-16,303475,"B00011572",127.17
2023-01-16,303475,"B00011573",118.692
2023-01-16,303475,"B00011574",124.388
2023-01-16,303475,"B00011575",115.907
2023-01-16,303475,"B00011576",124.08
2023-01-16,303475,"B00011577",135.36
2023-01-16,303480,"B00011567",116.185
2023-01-16,303661,"B00011553",135.456
2023-01-16,303661,"B00011554",129.812
2023-01-16,303661,"B00011555",126.99
2023-01-16,303661,"B00011556",135.456
